"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TXK_MN004","2597","20160506","22.9","3","0"
"TXK_MN004","2597","20160507","23.7","3","0"
"TXK_MN004","2597","20160508","22.8","3","0"
"TXK_MN004","2597","20160509","23.7","3","0"
"TXK_MN004","2597","20160510","23.6","3","0"
"TXK_MN004","2597","20160511","22","3","0"
"TXK_MN004","2597","20160512","20.3","3","0"
"TXK_MN004","2597","20160513","21.6","3","0"
"TXK_MN004","2597","20160514","12.9","3","0"
"TXK_MN004","2597","20160515","10.4","3","0"
"TXK_MN004","2597","20160516","12.3","3","0"
"TXK_MN004","2597","20160517","13.3","3","0"
"TXK_MN004","2597","20160518","18.4","3","0"
"TXK_MN004","2597","20160519","16.4","3","0"
"TXK_MN004","2597","20160520","19.1","3","0"
"TXK_MN004","2597","20160521","22.1","3","0"
"TXK_MN004","2597","20160522","27.2","3","0"
"TXK_MN004","2597","20160523","15.9","3","0"
"TXK_MN004","2597","20160524","12.3","3","0"
"TXK_MN004","2597","20160525","14.5","3","0"
"TXK_MN004","2597","20160526","22","3","0"
"TXK_MN004","2597","20160527","21.7","3","0"
"TXK_MN004","2597","20160528","24.4","3","0"
"TXK_MN004","2597","20160529","23.6","3","0"
"TXK_MN004","2597","20160530","19.5","3","0"
"TXK_MN004","2597","20160531","21.4","3","0"
"TXK_MN004","2597","20160601","20.9","3","0"
"TXK_MN004","2597","20160602","19.8","3","0"
"TXK_MN004","2597","20160603","18.2","3","0"
"TXK_MN004","2597","20160604","23.9","3","0"
"TXK_MN004","2597","20160605","25.5","3","0"
"TXK_MN004","2597","20160606","25.9","3","0"
"TXK_MN004","2597","20160607","26.8","3","0"
"TXK_MN004","2597","20160608","22.4","3","0"
"TXK_MN004","2597","20160609","20.2","3","0"
"TXK_MN004","2597","20160610","21.3","3","0"
"TXK_MN004","2597","20160611","20.8","3","0"
"TXK_MN004","2597","20160612","18.2","3","0"
"TXK_MN004","2597","20160613","19.9","3","0"
"TXK_MN004","2597","20160614","19.7","3","0"
"TXK_MN004","2597","20160615","17.9","3","0"
"TXK_MN004","2597","20160616","17.4","3","0"
"TXK_MN004","2597","20160617","19.1","3","0"
"TXK_MN004","2597","20160618","19.6","3","0"
"TXK_MN004","2597","20160619","18.3","3","0"
"TXK_MN004","2597","20160620","20.9","3","0"
"TXK_MN004","2597","20160621","22.3","3","0"
"TXK_MN004","2597","20160622","27","3","0"
"TXK_MN004","2597","20160623","30.9","3","0"
"TXK_MN004","2597","20160624","31.7","3","0"
"TXK_MN004","2597","20160625","26.4","3","0"
"TXK_MN004","2597","20160626","21.8","3","0"
"TXK_MN004","2597","20160627","19.8","3","0"
"TXK_MN004","2597","20160628","20.2","3","0"
"TXK_MN004","2597","20160629","24.1","3","0"
"TXK_MN004","2597","20160630","23","3","0"
"TXK_MN004","2597","20160701","25.2","3","0"
"TXK_MN004","2597","20160702","19.7","3","0"
"TXK_MN004","2597","20160703","20.8","3","0"
"TXK_MN004","2597","20160704","21.5","3","0"
"TXK_MN004","2597","20160705","24.2","3","0"
"TXK_MN004","2597","20160706","21.5","3","0"
"TXK_MN004","2597","20160707","23.9","3","0"
"TXK_MN004","2597","20160708","26.9","3","0"
"TXK_MN004","2597","20160709","25.4","3","0"
"TXK_MN004","2597","20160710","30.9","3","0"
"TXK_MN004","2597","20160711","29","3","0"
"TXK_MN004","2597","20160712","21.9","3","0"
"TXK_MN004","2597","20160713","22","3","0"
"TXK_MN004","2597","20160714","19.5","3","0"
"TXK_MN004","2597","20160715","19.6","3","0"
"TXK_MN004","2597","20160716","24","3","0"
"TXK_MN004","2597","20160717","26.6","3","0"
"TXK_MN004","2597","20160718","27.8","3","0"
"TXK_MN004","2597","20160719","30","3","0"
"TXK_MN004","2597","20160720","33","3","0"
"TXK_MN004","2597","20160721","23.5","3","0"
"TXK_MN004","2597","20160722","29.9","3","0"
"TXK_MN004","2597","20160723","24.1","3","0"
"TXK_MN004","2597","20160724","26.6","3","0"
"TXK_MN004","2597","20160725","27.4","3","0"
"TXK_MN004","2597","20160726","28.6","3","0"
"TXK_MN004","2597","20160727","26.5","3","0"
"TXK_MN004","2597","20160728","24.8","3","0"
"TXK_MN004","2597","20160729","25.3","3","0"
"TXK_MN004","2597","20160730","26.1","3","0"
"TXK_MN004","2597","20160731","24.4","3","0"
"TXK_MN004","2597","20160801","22.1","3","0"
"TXK_MN004","2597","20160802","17.7","3","0"
"TXK_MN004","2597","20160803","21.8","3","0"
"TXK_MN004","2597","20160804","23.9","3","0"
"TXK_MN004","2597","20160805","22","3","0"
"TXK_MN004","2597","20160806","23.2","3","0"
"TXK_MN004","2597","20160807","26.2","3","0"
"TXK_MN004","2597","20160808","27","3","0"
"TXK_MN004","2597","20160809","21","3","0"
"TXK_MN004","2597","20160810","17.8","3","0"
"TXK_MN004","2597","20160811","17.6","3","0"
"TXK_MN004","2597","20160812","18","3","0"
"TXK_MN004","2597","20160813","26.8","3","0"
"TXK_MN004","2597","20160814","25.6","3","0"
"TXK_MN004","2597","20160815","25.9","3","0"
"TXK_MN004","2597","20160816","25.2","3","0"
"TXK_MN004","2597","20160817","24.2","3","0"
"TXK_MN004","2597","20160818","26.2","3","0"
"TXK_MN004","2597","20160819","26.9","3","0"
"TXK_MN004","2597","20160820","25.1","3","0"
"TXK_MN004","2597","20160821","19.8","3","0"
